Afghanistan	Asien	Mittlerer Osten
Ägypten	Afrika
Albanien	Europa	Südosteuropa
Algerien	Afrika
Andorra	Europa	Südeuropa
Angola	Afrika
Antigua und Barbuda	Amerika	Westindien
Äquatorialguinea	Afrika
Argentinien	Amerika	Südamerika
Armenien	Asien
Aserbaidschan	Asien
Äthiopien	Afrika
Australien	Austr./Ozea.
Bahamas	Amerika	Westindien
Bahrain	Asien	Naher Osten
Bangladesch	Asien
Barbados	Amerika	Westindien
Belgien	Europa	Mitteleuropa
Belize	Amerika	Mittelamerika
Benin	Afrika
Bhutan	Asien
Bolivien	Amerika	Südamerika
Bosnien und Herzegowina	Europa	Südosteuropa
Botswana	Afrika
Brasilien	Amerika	Südamerika
Brunei Darussalam	Asien
Bulgarien	Europa	Südosteuropa
Burkina Faso	Afrika
Burundi	Afrika
Chile	Amerika	Südamerika
China	Asien	Ferner Osten
Hongkong	Asien	Ferner Osten
China inkl. Hongkong	Asien	Ferner Osten
Curaçao	Amerika	Westindien
Taiwan	Asien	Ferner Osten
Costa Rica	Amerika	Mittelamerika
Dänemark	Europa	Skandinavien
Deutschland	Europa	Mitteleuropa
Dominica	Amerika	Westindien
Dominikanische Republik	Amerika	Westindien
Dschibuti	Afrika
Ecuador	Amerika	Südamerika
El Salvador	Amerika	Mittelamerika
Elfenbeinküste	Afrika
Eritrea	Afrika
Estland	Europa	Osteuropa
Fidschi	Austr./Ozea.
Finnland	Europa	Skandinavien
Frankreich	Europa	Mitteleuropa
Gabun	Afrika
Gambia	Afrika
Georgien	Asien
Ghana	Afrika
Grenada	Amerika	Westindien
Griechenland	Europa	Südeuropa
Guatemala	Amerika	Mittelamerika
Guinea	Afrika
Guinea-Bissau	Afrika
Guyana	Amerika	Südamerika
Haiti	Amerika	Westindien
Honduras	Amerika	Mittelamerika
Indien	Asien
Indonesien	Asien	Ferner Osten
Irak	Asien	Mittlerer Osten
Iran	Asien	Mittlerer Osten
Irland	Europa
Island	Europa	Skandinavien
Israel	Asien	Naher Osten
Italien	Europa	Südeuropa
Jamaika	Amerika	Westindien
Japan	Asien	Ferner Osten
Jemen	Asien	Naher Osten
Jordanien	Asien	Naher Osten
Kambodscha	Asien	Ferner Osten
Kamerun	Afrika
Kanada	Amerika	Nordamerika
Kap Verde	Afrika
Kasachstan	Asien
Katar	Asien	Naher Osten
Kenia	Afrika
Kirgistan	Asien
Kiribati	Austr./Ozea.
Kolumbien	Amerika	Südamerika
Komoren	Afrika
Demokratische Republik Kongo	Afrika
Republik Kongo	Afrika
Nordkorea	Asien	Ferner Osten
Südkorea	Asien	Ferner Osten
Kosovo	Europa	Südosteuropa
Kroatien	Europa	Südosteuropa
Kuba	Amerika	Westindien
Kuwait	Asien	Naher Osten
Laos	Asien	Ferner Osten
Lesotho	Afrika
Lettland	Europa	Osteuropa
Libanon	Asien	Naher Osten
Liberia	Afrika
Libyen	Afrika
Liechtenstein	Europa	Mitteleuropa
Litauen	Europa	Osteuropa
Luxemburg	Europa	Mitteleuropa
Madagaskar	Afrika
Malawi	Afrika
Malaysia	Asien	Ferner Osten
Malediven	Asien
Mali	Afrika
Malta	Europa	Südeuropa
Marokko	Afrika
Marshallinseln	Austr./Ozea.
Mauretanien	Afrika
Mauritius	Afrika
Mazedonien	Europa	Südosteuropa
Mexiko	Amerika	Nordamerika
Moldawien	Europa	Osteuropa
Monaco	Europa	Mitteleuropa
Mongolei	Asien	Ferner Osten
Montenegro	Europa	Südosteuropa
Mosambik	Afrika
Myanmar	Asien	Ferner Osten
Namibia	Afrika
Nauru	Austr./Ozea.
Nepal	Asien	Ferner Osten
Neuseeland	Austr./Ozea.
Nicaragua	Amerika	Mittelamerika
Niederlande	Europa	Mitteleuropa
Niger	Afrika
Nigeria	Afrika
Norwegen	Europa	Skandinavien
Oman	Asien	Naher Osten
Österreich	Europa	Mitteleuropa
Osttimor	Asien	Ferner Osten
Pakistan	Asien	Mittlerer Osten
Palau	Austr./Ozea.
Panama	Amerika	Mittelamerika
Papua-Neuguinea	Austr./Ozea.
Paraguay	Amerika	Südamerika
Peru	Amerika	Südamerika
Philippinen	Asien	Ferner Osten
Polen	Europa	Osteuropa
Portugal	Europa	Südeuropa
Ruanda	Afrika
Rumänien	Europa	Südosteuropa
Russland	Europa	Osteuropa
Russische Föderation	Europa	Osteuropa
Ehem. Sowjetunion	Europa	Osteuropa
Ehem. Jugoslawien	Europa	Osteuropa
Salomonen	Austr./Ozea.
Sambia	Afrika
Samoa	Austr./Ozea.
San Marino	Europa	Südeuropa
Saudi-Arabien	Asien	Naher Osten
Schweden	Europa	Skandinavien
Schweiz	Europa	Mitteleuropa
Senegal	Afrika
Serbien	Europa	Südosteuropa
Seychellen	Afrika
Sierra Leone	Afrika
Simbabwe	Afrika
Singapur	Asien	Ferner Osten
Slowakei	Europa	Mitteleuropa
Slowenien	Europa	Südosteuropa
Somalia	Afrika
Spanien	Europa	Südeuropa
Sri Lanka	Asien
St. Kitts und Nevis	Amerika	Westindien
St. Lucia	Amerika	Westindien
St. Vincent und die Grenadinen	Amerika	Westindien
Südafrika	Afrika
Sudan	Afrika
Südsudan	Afrika
Suriname	Amerika	Südamerika
Swasiland	Afrika
Syrien	Asien	Naher Osten
São Tomé und Príncipe	Afrika
Tadschikistan	Asien
Tansania	Afrika
Thailand	Asien	Ferner Osten
Togo	Afrika
Tonga	Austr./Ozea.
Trinidad und Tobago	Amerika	Westindien
Tschad	Afrika
Tschechische Republik	Europa	Mitteleuropa
Gibraltar	Europa	Südeuropa
Tunesien	Afrika
Türkei	Asien
Turkmenistan	Asien
Tuvalu	Austr./Ozea.
Uganda	Afrika
Ukraine	Europa	Osteuropa
Ungarn	Europa	Südosteuropa
Uruguay	Amerika	Südamerika
Usbekistan	Asien
Vanuatu	Austr./Ozea.
Vatikanstadt	Europa	Südeuropa
Venezuela	Amerika	Südamerika
Vereinigte Arabische Emirate	Asien	Naher Osten
Vereinigte Staaten von Amerika	Amerika	Nordamerika
Vereinigtes Königreich	Europa
Vietnam	Asien	Ferner Osten
Weißrussland	Europa	Osteuropa
Zentralafrikanische Republik	Afrika
Zypern	Asien
